gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01_2690705,complete,,LCK,2022,Spring,0,12/01/2022 10:07,1,12.01,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Lee Sin,Ryze,Viktor,LeBlanc,Graves,2233,1,12,7,26,12,7,1,1,0,0,1,,,,0.3224,0.5105,1,5,0,4,0,1,0,0,2,0,1,,1,0,1,2,0,1,1,0,0,7,2,1,1,2,1,1,0,74327,1997.1429,,2789.7179,2453.1214,122,3.2781,83,2.2302,50,332,8.9207,66455,42304,1136.695,,59950,0.0386823,,970,236,,,32.4048,15662,18130,324,15510,19078,337,152,-948,-13,1,1,1,1,1,1,24357,29835,518,23048,30005,533,1309,-170,-15,3,2,1,1,1,3
ESPORTSTMNT01_2690725,complete,,LCK,2022,Spring,0,12/01/2022 11:49,2,12.01,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Renekton,Ryze,Lux,LeBlanc,Jayce,1506,1,18,4,31,18,4,4,1,0,0,1,,,,0.7171,0.8765,1,3,0,3,0,1,0,1,0,0,1,,0,0,0,1,1,1,1,0,1,10,2,1,1,8,9,1,0,63088,2513.4661,,2445.4183,1641.753,103,4.1036,34,1.3546,35,202,8.0478,51002,34268,1365.259,,45725,0.205607,,605,164,,,30.6375,18490,19259,300,15473,16909,293,3017,2350,7,5,6,0,0,0,5,26660,29386,480,24962,28863,475,1698,523,5,6,8,3,3,6,6
ESPORTSTMNT01_2691518,complete,,LCK,2022,Spring,0,14/01/2022 9:32,1,12.01,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Renekton,Lee Sin,Karma,Gragas,LeBlanc,2568,0,11,17,21,11,17,1,1,0,0,1,,,,0.257,0.6542,0,1,4,1,4,0,0,0,0,0,1,,0,0,0,0,2,0,1,1,1,5,8,1,1,9,6,0,1,69963,1634.6495,,2292.1028,1907.6402,188,4.3925,64,1.4953,64,340,7.9439,74244,46671,1090.4439,,70725,0.00923295,,1076,314,,,32.4766,16762,18761,342,15179,17884,308,1583,877,34,2,2,2,2,5,2,25923,29217,535,24812,29071,496,1111,146,39,3,3,4,4,10,3
ESPORTSTMNT01_2691546,complete,,LCK,2022,Spring,0,14/01/2022 11:51,2,12.01,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Lee Sin,LeBlanc,Twisted Fate,Leona,Yuumi,2756,1,21,13,53,21,13,2,1,0,0,1,,,,0.4572,0.7402,0,5,3,4,3,0,3,0,0,0,1,,1,0,1,2,0,0,1,2,1,10,8,1,1,7,1,1,1,111702,2431.8287,,2416.7852,3389.4993,159,3.4615,81,1.7634,64,387,8.4253,86941,57456,1250.8563,,79600,-0.0255488,,1169,274,,,31.4151,17279,18254,337,15257,18057,318,2022,197,19,1,2,2,2,3,1,25165,28084,528,23487,29505,528,1678,-1421,0,2,4,3,3,5,2
ESPORTSTMNT01_2691557,complete,,LCK,2022,Spring,0,14/01/2022 13:00,3,12.01,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Lee Sin,Renekton,,Camille,LeBlanc,2487,1,18,4,41,18,4,3,0,0,0,1,,,,0.4343,0.5308,0,5,1,4,1,1,0,0,3,0,0,,1,0,1,2,0,1,2,0,1,11,2,1,1,6,1,5,0,73499,1773.1966,,2412.111,2215.1749,148,3.5706,96,2.316,61,405,9.7708,78702,51953,1253.3896,,68900,0.103014,,1063,271,,,32.1834,15654,18139,324,15427,18391,335,227,-252,-11,2,3,1,1,2,2,24301,29214,516,23277,29251,536,1024,-37,-20,3,5,1,1,2,3
ESPORTSTMNT01_2704285,complete,,LCK,2022,Spring,0,20/01/2022 6:11,1,12.01,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Renekton,Twisted Fate,Caitlyn,Gragas,Thresh,1676,1,19,9,47,19,9,2,1,0,0,1,,,,0.6802,1.0024,1,4,0,4,0,1,0,2,0,1,0,,0,0,0,0,2,1,1,0,1,7,1,0,1,1,5,1,0,45660,1634.6062,,2639.1408,2332.3747,120,4.2959,59,2.1122,45,260,9.3079,56513,38040,1361.8138,,48400,0.0778106,,793,219,,,36.2291,17210,18058,306,16886,18912,321,324,-854,-15,6,18,5,5,17,6,27849,31330,513,25652,30068,523,2197,1262,-10,10,25,6,6,19,10
ESPORTSTMNT01_2694425,complete,,LCK,2022,Spring,0,20/01/2022 8:35,2,12.01,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Graves,Caitlyn,Renekton,Rakan,Leona,1723,1,14,8,30,14,8,1,0,0,0,1,,,,0.4875,0.7661,0,2,2,2,2,0,0,0,0,1,1,,0,0,1,2,0,1,1,0,1,9,1,1,1,7,2,1,0,49718,1731.3291,,2637.2142,2084.3297,93,3.2385,40,1.3929,40,223,7.7655,56180,37231,1296.4945,,49875,0.171192,,741,218,,,33.3952,15621,18574,343,15450,18257,341,171,317,2,1,2,1,1,2,1,25169,28919,534,23946,29427,518,1223,-508,16,3,5,4,4,10,3
ESPORTSTMNT01_2705912,complete,,LCK,2022,Spring,0,23/01/2022 5:38,1,12.01,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Renekton,Xin Zhao,Akali,Viego,Poppy,1944,1,19,12,42,19,12,2,0,0,0,0,,,,0.5864,0.9568,1,4,0,4,0,0,2,0,1,1,0,,0,0,1,2,0,1,1,0,1,9,2,1,1,10,1,1,0,95554,2949.1975,,2787.7778,2565.0309,112,3.4568,40,1.2346,41,253,7.8086,63409,42203,1302.5617,,59050,0.147566,,815,219,,,31.9136,16214,18624,325,15353,18591,294,861,33,31,1,1,3,3,1,1,27490,30098,512,24974,30660,478,2516,-562,34,5,15,7,7,12,5
ESPORTSTMNT01_2705943,complete,,LCK,2022,Spring,0,23/01/2022 8:40,2,12.01,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Renekton,Xin Zhao,Akali,Lee Sin,Graves,1510,1,10,2,29,10,2,0,0,0,0,0,,,,0.3974,0.4768,0,2,2,2,2,0,0,0,0,1,1,,0,0,1,1,1,0,0,0,1,7,2,1,1,5,4,1,0,40300,1601.3245,,2044.2517,1260.0397,77,3.0596,40,1.5894,32,167,6.6358,45382,28606,1136.6623,,37400,-0.0207713,,718,150,,,34.4901,15270,18896,347,15740,19295,348,-470,-399,-1,0,0,1,1,2,0,24352,30887,557,23720,29851,535,632,1036,22,1,2,1,1,2,1
ESPORTSTMNT02_2551187,complete,,LCK,2022,Spring,0,27/01/2022 10:41,1,12.02,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Graves,Yuumi,Renekton,Gwen,Gnar,2813,1,5,7,10,5,7,0,0,0,0,1,,,,0.1066,0.256,0,5,3,4,3,0,0,4,0,0,0,,1,0,1,2,0,1,3,0,1,11,8,1,1,6,1,3,1,59640,1272.0938,,2680.1422,2555.3217,185,3.946,100,2.133,86,434,9.257,85071,55000,1173.1248,,77925,0.0543747,,1232,355,,,33.85,15821,19828,371,15367,19381,362,454,447,9,0,0,0,0,0,0,26074,30927,570,24022,30451,558,2052,476,12,2,4,2,2,5,2
